0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
South Korea,2014-01-20,Beverages,Oriental Brewery Co. Ltd.,5800.0,Add-on Acquisition,"Anheuser-Busch InBev SA/NV, Brouwerijplein, 1, Leuven, 1000, Belgium, +32 1 627 61 11, www.ab-inbev.com",ABI.BR,51.3,63.0,0.681453984122317,0.6428872645487771,1.073412104895802,0.6616773908480849,1.7668494356839832,2.11016446353561,2.4804945401533525,2.285678859268444,4.706821963394343,4.3894933167547405,2.9127052722558338,3.403176003528893,0.29324522448632684,0.2857765342629117,0.09521717160621307,0.1962298915739494,0.1810738352293312,0.20816948880507186,0.3721735117674204,0.1733477789815818,11.040626789525746,13.367590076786769,20.17120850509872,12.803170977340352,19.16616753472222,22.937543817236797,135.45068493150686,22.522545022511252,3.5346874249579763,4.503460141918029,2.3562749688108893,2.4810948543087408,18.11830957021233,20.247791293213826,32.760534008965124,16.848186921133877,3.753169156237384,4.351947069076232,3.693000417426456,3.190600772447028,2014,1,108.1,1634000000.0,176635400000.0,8357000000.0,43801000000.0,212079400000.0,115.85,1638000000.0,189762300000.0,6923000000.0,43474000000.0,226313300000.0,97.9,1717000000.0,168094300000.0,8579000000.0,119392000000.0,278907300000.0,91.37,1971000000.0,180090270000.0,10472000000.0,110067000000.0,279685270000.0
United States,2014-01-13,Technology Hardware,"Nest Labs, Inc.",3200.0,Add-on Acquisition,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",GOOG,51.3,63.0,4.687764467489124,4.666701191092698,6.290761518262116,5.140305173055452,0.2438571153475833,0.2254614355403013,0.20470237923990908,0.2937207400146932,,,,,0.2614960379388191,0.26205176759258025,0.26752481389578164,0.2453024220829011,0.2108465148618112,0.16808304920869166,0.1934575569358178,0.17309601735740815,15.128789386863188,20.237663933435414,18.134091587875602,33.28854977254131,25.906183892190157,31.490845577440663,28.780459899373657,64.66226461867004,3.5259947573656847,4.278301879814843,4.031947106648638,5.368805654813745,30.49207456286428,30.97174488629528,21.707938271375465,34.247441945940515,5.5485494992500115,6.8651714718158665,6.2099631992201365,7.385806635709711,2014,1,524.96,0.0,0.0,18347000000.0,4991000000.0,-13356000000.0,758.88,0.0,0.0,16549000000.0,4995000000.0,-11554000000.0,771.82,0.0,0.0,12918000000.0,3935000000.0,-8983000000.0,1046.4,0.0,0.0,10715000000.0,3943000000.0,-6772000000.0
United States,2014-01-02,Financial Services,Lender Processing Services LLC,2900.0,Add-on Acquisition,"Fidelity National Financial, Inc., 601 Riverside Avenue, Jacksonville, Florida, 32204, United States, (904) 854-8100, www.fnf.com",FNF,51.3,63.0,0.28070522979397783,0.08209509658246658,0.045502785884850086,0.2813688212927757,1.30980980980981,1.4210983663538408,1.4217811874583055,1.057791769732404,-84.85714285714286,-45.28571428571429,-22.784313725490197,5.713178294573643,0.04955125774238402,0.11788120024494796,0.13377223700798432,0.1147410358565737,0.7959183673469388,0.35584415584415585,0.3633507853403141,0.3796296296296297,5.224653404539387,3.5961120715350225,1.7445621483375962,0.265625,4.970035677530019,0.037917267552182166,0.06845415384615385,,0.4834052052052053,0.0034727841501564125,0.007420813875917278,,7.545653125,0.02814422535211268,0.05102660550458715,0.0,0.3662660599165719,0.003059154929577465,0.006232693654573468,,2014,1,20.9966,138000000.0,2897530800.0,700000000.0,5629000000.0,7826530800.0,19.9824,1000000.0,19982400.0,780000000.0,5586000000.0,4825982400.0,22.2476,2000000.0,44495200.0,1049000000.0,3733000000.0,2728495200.0,36.6297,0.0,0.0,1110000000.0,1518000000.0,408000000.0
United States,2014-01-02,Information Technology,Mandiant Corp.,1050.0,Add-on Acquisition,"FireEye, Inc., 601 McCarthy Boulevard, Milpitas, California, 95035, United States, (408) 321-6300, www.fireeye.com",FEYE,51.3,63.0,2.0088657902782026,3.029392946129674,2.028216514910848,1.7274981253477175,0.4062200191877199,1.3377426817264346,1.833112593804392,2.889235640983461,,,,,-1.1284942447733146,-0.8589941361259906,-0.6999426341546329,-0.3598444426202594,0.07629891756869275,-0.007643074048119598,0.017648273014999313,-0.016510308249451086,-12.067115727125875,-6.250796736800377,-8.053108556051617,-25.77407139884901,-10.833217665615145,-4.027244791038825,-4.357358987300049,-9.411925984627466,3.8437655900223855,2.0792886059756492,2.5147834771112527,4.245591221987421,-24.160922659430124,-123.84799817497435,-41.55709463840153,-102.6868166341482,11.2938266384778,3.485819955150113,2.9960758362311344,3.4427468549909706,2014,1,33.81,142200000.0,4807782000.0,146400000.0,0.0,4661382000.0,14.09,154120000.0,2171550800.0,402102000.0,706198000.0,2475646800.0,12.96,163211000.0,2115214560.0000002,223667000.0,741980000.0,2633527560.0,15.1,177757000.0,2684130700.0,180891000.0,779578000.0,3282817700.0
Singapore,2014-01-07,Transportation,Very Large Crude Carriers (VLCC),980.0,Divestiture,"Euronav NV, Belgica House, De Gerlachekaai 20, Antwerpen, 2000, Belgium, +32 3 247 44 11, www.euronav.com",EURN,51.3,63.0,1.8209207853757616,2.0893447052204093,1.97460535709564,1.7678971903741967,1.1025327629524004,0.5955647884375119,0.6138675901345159,0.5224395445961001,,-2.0281444134329702,-3.4816621643095504,-1.579563124215059,-0.10864978902953587,0.4204737822605129,0.2979474326467085,4.869801000451917e-05,0.11067961165048544,-0.01582596773559143,0.0008534641324340895,54.32,23.451032317073174,3.703490276138385,3.936826400062005,8.13003751221723,-18.726739082969434,3.654828256236778,4.6156228797102665,811.2524021417207,0.5823892510355129,0.6718041006386466,0.4988533805777253,0.6076612710959558,-0.7379202013249592,14.164223445197976,9.861505622612663,33.59771432478888,1.8094612869198317,1.5124387547746208,1.3763866820340072,2.185492808593445,2014,1,7.3621,116500000.0,857684650.0,254100000.0,1319400000.0,1922984650.0,8.1273,157529560.0,1280289992.988,131663000.0,952426000.0,2101052992.988,5.9447,158429060.0,941813232.982,206689000.0,966443000.0,1701567232.9819999,7.0877,158297060.0,1121962072.162,143648000.0,851359000.0,1829673072.162
United Kingdom,2014-01-26,Software,DeepMind,650.0,Add-on Acquisition,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",GOOG,51.3,63.0,4.687764467489124,4.666701191092698,6.290761518262116,5.140305173055452,0.2438571153475833,0.2254614355403013,0.20470237923990908,0.2937207400146932,,,,,0.2614960379388191,0.26205176759258025,0.26752481389578164,0.2453024220829011,0.2108465148618112,0.16808304920869166,0.1934575569358178,0.17309601735740815,15.128789386863188,20.237663933435414,18.134091587875602,33.28854977254131,25.906183892190157,31.490845577440663,28.780459899373657,64.66226461867004,3.5259947573656847,4.278301879814843,4.031947106648638,5.368805654813745,30.49207456286428,30.97174488629528,21.707938271375465,34.247441945940515,5.5485494992500115,6.8651714718158665,6.2099631992201365,7.385806635709711,2014,1,524.96,0.0,0.0,18347000000.0,4991000000.0,-13356000000.0,758.88,0.0,0.0,16549000000.0,4995000000.0,-11554000000.0,771.82,0.0,0.0,12918000000.0,3935000000.0,-8983000000.0,1046.4,0.0,0.0,10715000000.0,3943000000.0,-6772000000.0
United States,2014-01-15,Insurance,The Wright Insurance Group LLC,602.0,Add-on Acquisition,"Brown & Brown, Inc., 220 South Ridgewood Avenue, Daytona Beach, Florida, 32114, United States, (386) 252-9601, www.bbinsurance.com",BRO,51.3,63.0,1.2371305902440446,1.157195793600076,1.2183707375738415,1.1281435631359202,1.344870360426636,1.3317494473842857,1.240199287267113,1.225404509003953,11.188834965563338,9.005488378195176,7.146275025239537,8.258127802690582,0.21675130465849207,0.2429516624209165,0.24024399998411605,0.24214142262568175,0.3910327918551637,0.3955718292225488,0.3919914804993636,0.11138436634187343,8.731452696416444,8.191224232907464,10.449630189019276,12.170711470597524,18.9543030237414,15.893817070664728,21.408672101160814,17.55164739884393,1.8552708479026565,1.7989091803052968,2.3356133786343682,2.7158274541477736,10.890344459255312,9.828506103341269,15.424309899746218,16.789014512318598,2.50186255368558,2.33395663601398,3.1271732705085755,3.7765994443457336,2014,1,13.9118,281888000.0,3921569478.4,470048000.0,1164003000.0,4615524478.4,14.0311,275620000.0,3867251782.0,443420000.0,1093612000.0,4517443782.0,20.246,272278000.0,5512540388.0,515646000.0,1033420000.0,6030314388.0,25.7325,272580000.0,7014164850.0,573383000.0,881106000.0,7321887850.0
United States,2014-01-02,Food,"Dakota Growers Pasta Co., Inc.",370.0,Divestiture,"Post Holdings, Inc., 2503 South Hanley Road, St. Louis, Missouri, 63144, United States, (314) 644-7600, www.postholdings.com",POST,51.3,63.0,2.3446816695518367,2.916039279869067,3.2758675078864354,3.713657013060761,2.386080939032936,2.0982526881720434,2.111280994482484,3.2687410071942447,-1.8110781404549952,-4.973568281938326,-4.690943043884222,-2.1859807801017523,-0.1770561154659699,-0.03599242717611118,-0.0059879048301106075,0.014237054613647672,0.1960646521433591,0.310818888224746,0.8903654485049833,0.35080645161290325,22.500004478280346,16.117472454825915,13.050817307692306,11.597843402308412,-4.260346736596737,-31.605455333911532,-1599.7042424242425,114.50198757763974,0.6403954975473021,1.2244989919354838,1.754644685235658,1.9893690647482007,21.629452662721885,10.602586558044807,13.859343659753215,28.173438614365768,0.6064248683173655,0.7839828320640247,1.050175857404313,1.0582965287611463,2014,1,36.83,39700000.0,1462151000.0,268400000.0,3830500000.0,5024251000.0,64.27,56700000.0,3644109000.0,841400000.0,4511400000.0,7314109000.0,76.73,68800000.0,5279024000.0,1143600000.0,4551200000.0,8686624000.0,81.57,67800000.0,5530446000.0,1525900000.0,7149100000.0,11153646000.0
United States,2014-01-02,Distribution,B27 LLC,285.0,Add-on Acquisition,"DXP Enterprises, Inc., 7272 Pinemont, Houston, Texas, 77040, United States, (713) 996-4700, www.dxpe.com",DXPE,51.3,63.0,2.105670501691132,1.8642580670070752,1.6008616396354232,2.546885639895854,2.144394936708861,3.4753613882577628,1.4266422385870925,1.3827090928766803,10.491129546904912,8.814722172592461,-10.047300125575557,-4.6100698272693865,0.07629177372715483,-0.017041173277711912,0.01005517143890605,0.016778210178568946,0.36403179999366536,-0.7701518234465488,0.2608021500930329,0.09809377219985793,13.50589811654658,-25122.53833333333,13.295849631608196,12.849412321527176,24.48807609940734,-15.80784185861444,73.99914048299144,35.40170535291331,4.9792008101265814,2.9434421202542067,2.265060745639309,2.2310106388933457,19.812341208547675,8.166398113466109,13.212049237331355,61.42648720846604,1.1881404418812571,0.4768508837324678,0.5923980035173352,0.5938366001775955,2014,1,102.16,14439000.0,1475088240.0,5469000.0,26213000.0,1495832240.0,48.85,14639000.0,715115150.0,47000.0,38608000.0,753676150.0,37.89,15042000.0,569941380.0,1590000.0,173331000.0,741682380.0,34.36,17400000.0,597864000.0,22047000.0,238643000.0,814460000.0
United States,2014-01-17,Financial Services,"Metrocorp Bancshares, Inc.",273.0,Add-on Acquisition,"East West Bancorp, Inc., 135 North Los Robles Avenue, 7th Floor, Pasadena, California, 91101, United States, (626) 768-6000, www.eastwestbank.com",EWBC,51.3,63.0,0.012570866295156071,0.011805090006549541,0.014773452072079309,0.0045798852151751075,9.064075630252098,9.359090603435854,9.149203221596963,8.662164613760039,,4.305080395284453,6.273051800823951,6.823540255758447,0.4343179168286048,0.5104160970593268,0.4709691863470396,0.5094894224284854,0.163248322147651,0.3352980106130588,0.2455486658231211,0.3121697728200245,5.900441161691238,4.049020960918496,6.567230475768416,6.886958218565972,13.423849908065915,11.103062003187091,16.17361780011444,17.92231844058035,1.6258087126050418,1.3676468026065098,2.036845494189905,2.358685558248921,11.818104656170304,9.223447439150537,10.943192671966548,13.142390643939779,4.511571787019045,3.766986865839612,5.746717313048802,6.280737154607965,2014,1,32.4816,142952000.0,4643309683.2,1039885000.0,226888000.0,3830312683.2,29.6979,143818000.0,4271092582.2000003,1360887000.0,210881000.0,3121086582.2000003,48.4553,144087000.0,6981778811.1,1878503000.0,246377000.0,5349652811.1,62.7368,144444000.0,9061954339.2,2174592000.0,171577000.0,7058939339.200001
