Date,Target,Sector,Country,Transaction Type,Deal Value (USD/MLNS),Investor(s),Target_symbol,Investors_symbol,Target_Name_in_API,Investors_Name_in_API
2000-01-17,SmithKline Beecham Ltd.,Life Science,United Kingdom,Merger,75700,"GlaxoSmithKline plc, 980 Great West Road, Brentford, TW8 9GS, United Kingdom, +44 20 8047 5000, www.gsk.com",,GSK,,GlaxoSmithKline plc
2000-01-12,"Etec Systems, Inc.",Semiconductors,United States,Add-on Acquisition,1800,"Applied Materials, Inc., 3050 Bowers Avenue, P.O. Box 58039, Santa Clara, California, 95052, United States, (408) 727-5555, www.appliedmaterials.com",,AMAT,,"Applied Materials, Inc."
2000-01-01,"Sirius XM Holdings, Inc.",Media,United States,Stake Purchase,1591,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-01-11,"UST, Corp.",Financial Services,United States,Add-on Acquisition,1412,"Citizens Financial Group, Inc., One Citizens Plaza, Providence, Rhode Island, 02903, United States, (401) 456-7000, www.citizensbank.com",,CFG,,"Citizens Financial Group, Inc."
2000-01-31,"Interleaf, Inc.",Software,United States,Add-on Acquisition,851,"BroadVision, Inc., 460 Seaport Court Suite 102, Redwood City, California, 94063, United States, (650) 331-1000, www.broadvision.com",,BVSN,,"BroadVision, Inc."
2000-01-01,First National Bank of Clovis,Financial Services,United States,Add-on Acquisition,23.2,"Heartland Financial USA, Inc., 1398 Central Avenue, Dubuque, Iowa, 52001, United States, (563) 589-2100, www.htlf.com",,HTLFP,,"Heartland Financial USA, Inc."
2000-01-18,Pacific Advantage International Ltd.,Marketing,United States,Add-on Acquisition,4,"Juniper Networks, Inc., 1133 Innovation Way, Sunnyvale, California, 94089, United States, (408) 745-2000, www.juniper.net",,JNPR,,"Juniper Networks, Inc."
2000-02-16,"Growth Networks, Inc.",Technology Hardware,United States,Add-on Acquisition,355,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-02-02,Utilicom Networks LLC,Communications,United States,"Buyout (LBO, MBO, MBI)",252,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-02-01,Western Integrated Networks,Media,United States,"Buyout (LBO, MBO, MBI)",828,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-02-01,"Knology, Inc.",Communications,United States,Stake Purchase,559,"Ballast Point Ventures (PE), 401 East Jackson Street, Suite 2300, Tampa, Florida, 33602, United States, (727)567-1500, www.ballastpointventures.com\nThe Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-03-30,"SightPath, Inc.",Information Technology,United States,Add-on Acquisition,800,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-03-20,US Foods Holding Corp.,Distribution,United States,Add-on Acquisition,3600,"Koninklijke Ahold Delhaize N.V., Provincialeweg 11, Zaandam, 1506 MA, Netherlands, +31 88 659 5100, www.aholddelhaize.com",USFD,AD.AS,US Foods Holding Corp.,Koninklijke Ahold Delhaize N.V.
2000-03-16,InfoGear Technology Corp.,Software,United States,Add-on Acquisition,301,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-03-07,Network Solutions LLC,Internet Software and Services,United States,Add-on Acquisition,21,"VeriSign, Inc., 12061 Bluemont Way, Reston, Virginia, 20190, United States, (703) 948-3200, www.verisign.com",,VRSN,,"VeriSign, Inc."
2000-03-01,Axtel S. A. B. De CV,Communications,Mexico,"Buyout (LBO, MBO, MBI)",600,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-03-01,"Abilizer Solutions, Inc.",Internet Software and Services,United States,"Buyout (LBO, MBO, MBI)",216,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-03-01,Viatel Holding Ltd.,Communications,United Kingdom,Stake Purchase,3465,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com\nCCMP Capital Advisors (PE), 277 Park Avenue, 27th Floor, New York, New York, 10172, United States, (212)600-9600, www.ccmpcapital.com",,BX,,The Blackstone Group Inc.
2000-03-01,"Live Nation Entertainment, Inc.",Media,United States,Add-on Acquisition,4400,"iHeartMedia, Inc., 125 W55th St., New York, New York, 10019, United States, www.iheartmedia.com",LYV,,"Live Nation Entertainment, Inc.",
2000-04-25,"AlphaDog Solutions, Inc.",Internet Software and Services,United States,Venture,50,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-04-12,Development Subsidiary - Seagull Semiconductors,Semiconductors,Israel,Divestiture,19,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-04-01,"Novo Networks, Inc.",Communications,United States,Stake Purchase,1200,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-05-01,ReliaStar Financial Corp.,Insurance,United States,Add-on Acquisition,6100,"ING Groep N.V., Amsterdamse Poort, Bijlmerplein 888, Amsterdam, 1102 MG, Netherlands, +31 20 563 9111, www.ing.com",,ING,,ING Groep N.V.
2000-05-05,"ArrowPoint Communications, Inc.",Information Technology,United States,Add-on Acquisition,5700,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-05-12,Qeyton Systems AB,Information Technology,Sweden,Add-on Acquisition,800,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-05-03,Sylea S.A.,Automotive,France,Stake Purchase,343.82,"Valeo SA, 43, rue Bayen, Paris, 75017, France, +33 1 40 55 20 20, www.valeo.com",,FR.PA,,Valeo SA
2000-05-11,PhoneFree.com,Communications,United States,Venture,121,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-05-01,Crowley Wireless,Media,United States,"Buyout (LBO, MBO, MBI)",79,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-05-26,Security Finance Corp.,Financial Services,United States,Add-on Acquisition,32.6,"Farmers National Banc Corp., 20 South Broad Street, Canfield, Ohio, 44406, United States, (330) 533-3341, www.farmersbankgroup.com",,FMNB,,Farmers National Banc Corp.
2000-05-24,"Equity Bancshares, Inc. ",Financial Services,United States,Add-on Acquisition,20.4,"First Interstate BancSystem, Inc., 401 North 31st Street, PO Box 30918, Billings, Montana, 59116, United States, (406) 255-5390, www.fibk.com",EQBK,,"Equity Bancshares, Inc.",
2000-05-11,"St. Mary's Chemicals, Inc.(aka Universal Chemical)",Chemicals,United States,Add-on Acquisition,3.3,"Hawkins, Inc., 2381 Rosegate, Roseville, Minnesota, 55113, United States, (612) 331-6910, www.hawkinsinc.com",,HWKN,,"Hawkins, Inc."
2000-06-27,"Nabisco, Inc.",Food,United States,Add-on Acquisition,18900,"Mondelez International, Inc., 905 West Fulton Market Suite 200, Chicago, New Jersey, 60607, United States, (847) 943-4000, www.mondelezinternational.com",,MDLZ,,"Mondelez International, Inc."
2000-06-27,NuSpeed Internet Systems,Internet Software and Services,United States,Add-on Acquisition,450,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-06-05,HyNEX Ltd.,Technology Hardware,Israel,Divestiture,127,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
