symbol,name
HVT-A,"Haverty Furniture Companies, Inc."
LGF-B,Lions Gate Entertainment Corp.
FMN,Federated Hermes Premier Municipal Income Fund
GTN-A,"Gray Television, Inc."
GEF-B,"Greif, Inc."
PCGU,PG&E Corporation
HEI-A,HEICO Corporation
SF,Stifel Financial Corp.
LEN-B,Lennar Corporation
AKO-B,Embotelladora Andina S.A.
AKO-A,Embotelladora Andina S.A.
MKC-V,"McCormick & Company, Incorporated"
MOG-B,Moog Inc.
AGM-A,Federal Agricultural Mortgage Corporation
RPAI,"Retail Properties of America, Inc."
GIG-U,
JW-B,"John Wiley & Sons, Inc."
GOB.DE,Compagnie de Saint-Gobain S.A.
MFGP,Micro Focus International plc
FMO,Fiduciary/Claymore Energy Infrastructure Fund
FMS,Fresenius Medical Care AG & Co. KGaA
MSVX,LHA Market State Alpha Seeker ETF
FMY,First Trust Mortgage Income Fund
MHLA,"Maiden Holdings, Ltd. 6.625 NT 2046"
DTD2.DE,B+S Banksysteme Aktiengesellschaft
AFLT.ME,Aeroflot-Rossiyskiye Avialinii PAO
GNRC,Generac Holdings Inc.
KMPH,"KemPharm, Inc."
LII,Lennox International Inc.
MOON,Direxion Moonshot Innovators ETF
WFC.TO,Wall Financial Corporation
AMAL,Amalgamated Bank
CW,Curtiss-Wright Corporation
BLW,BlackRock Limited Duration Income Trust
AMTR,ETRACS Alerian Midstream Energy Total Return Index ETN
SZC,The Cushing Renaissance Fund
ES,Eversource Energy
ARCH,"Arch Resources, Inc."
ET,Energy Transfer LP
ENX,Eaton Vance New York Municipal Bond Fund
PGTI,"PGT Innovations, Inc."
MHNC,"Maiden Holdings North America, Ltd."
BCX,Blackrock Resources & Commodities Strategy Trust
FPF,First Trust Intermediate Duration Preferred & Income Fund
IBP,"Installed Building Products, Inc."
BUI,"BlackRock Utilities, Infrastructure & Power Opportunities Trust"
JNPR,"Juniper Networks, Inc."
IFF,International Flavors & Fragrances Inc.
BEN,"Franklin Resources, Inc."
FG,FGL Holdings
FPL,First Trust New Opportunities MLP & Energy Fund
FN,Fabrinet
FT,Franklin Universal Trust
ASRVP,Ameriserv Financial Capital Trust I PFD A GTD 8.45
VAC,Marriott Vacations Worldwide Corporation
MOH,"Molina Healthcare, Inc."
ALTY,Global X SuperDividend Alternatives ETF
SHOP,Shopify Inc.
LADR,Ladder Capital Corp
MLM,"Martin Marietta Materials, Inc."
BOOT,"Boot Barn Holdings, Inc."
LCII,LCI Industries
FRC,First Republic Bank
KMPR,Kemper Corporation
LYV,"Live Nation Entertainment, Inc."
GIX-WS,
ALGRU,Allegro Merger Corp.
KBR,"KBR, Inc."
TECK,Teck Resources Limited
SID,Companhia Sider��rgica Nacional
FTXD,First Trust Nasdaq Retail ETF
NEXA,Nexa Resources S.A.
DNK,Phoenix Tree Holdings Limited
